Combine labels,coding,stopwords,stemming,uniform prior,model,accuracy,accuracy on top frequency DAS,frequency-weighted accuracy,weighted precision,weighted recall,weighted F1 score,file with predictions on test set,file with predictions
yes,1,no,no,yes,second classifier (TF-IDF Naive Bayes classifier),0.9210526315789473,0.9814814814814815,0.9210526315789473,0.9244851258581236,0.9210526315789473,0.9137027963166343,Classified_TFIDF_NB-test_combined_labels_yes-coding-approach1-stopwords-no-uniformprior_yes-stemming_no-test_no.csv,Classified_TFIDF_NB_combined_labels_yes-coding-approach1-stopwords-no-uniformprior_yes-stemming_no-test_no.csv
yes,1,no,no,yes,third classifier (SVM classifier),0.9605263157894737,1.0,0.9605263157894737,0.9611244019138756,0.9605263157894737,0.9600221818915105,Classified_SVM-test_combined_labels_yes-coding-approach1-stopwords-no-uniformprior_yes-stemming_no-test_no.csv,Classified_SVM_combined_labels_yes-coding-approach1-stopwords-no-uniformprior_yes-stemming_no-test_no.csv
yes,1,no,no,yes,fourth classifier (word2vec),0.9078947368421053,0.9629629629629629,0.9078947368421053,0.9118873951182305,0.9078947368421053,0.9051871760850088,Classified_w2v-test_combined_labels_yes-coding-approach1-stopwords-no-uniformprior_yes-stemming_no-test_no.csv,Classified_w2v_combined_labels_yes-coding-approach1-stopwords-no-uniformprior_yes-stemming_no-test_no.csv
yes,1,no,no,yes,fifth classifier (word2vec with TF-IDF),0.8947368421052632,0.9444444444444444,0.8947368421052632,0.8983040935672515,0.8947368421052632,0.894821476934188,Classified_w2v_tfidf-test_combined_labels_yes-coding-approach1-stopwords-no-uniformprior_yes-stemming_no-test_no.csv,Classified_w2v_tfidf_combined_labels_yes-coding-approach1-stopwords-no-uniformprior_yes-stemming_no-test_no.csv
yes,1,no,no,no,first classifier (Naive Bayes classifier),0.9210526315789473,
yes,1,no,no,no,second classifier (TF-IDF Naive Bayes classifier),0.9078947368421053,0.9814814814814815,0.9078947368421053,0.8512849584278156,0.9078947368421053,0.877215519034741,Classified_TFIDF_NB-test_combined_labels_yes-coding-approach1-stopwords-no-uniformprior_no-stemming_no-test_no.csv,Classified_TFIDF_NB_combined_labels_yes-coding-approach1-stopwords-no-uniformprior_no-stemming_no-test_no.csv
yes,1,no,no,no,third classifier (SVM classifier),0.9605263157894737,1.0,0.9605263157894737,0.9611244019138756,0.9605263157894737,0.9600221818915105,Classified_SVM-test_combined_labels_yes-coding-approach1-stopwords-no-uniformprior_no-stemming_no-test_no.csv,Classified_SVM_combined_labels_yes-coding-approach1-stopwords-no-uniformprior_no-stemming_no-test_no.csv
yes,1,no,no,no,fourth classifier (word2vec),0.8947368421052632,0.9629629629629629,0.8947368421052632,0.8959499813363195,0.8947368421052632,0.8924426450742239,Classified_w2v-test_combined_labels_yes-coding-approach1-stopwords-no-uniformprior_no-stemming_no-test_no.csv,Classified_w2v_combined_labels_yes-coding-approach1-stopwords-no-uniformprior_no-stemming_no-test_no.csv
yes,1,no,no,no,fifth classifier (word2vec with TF-IDF),0.8947368421052632,0.9629629629629629,0.8947368421052632,0.8983040935672515,0.8947368421052632,0.894821476934188,Classified_w2v_tfidf-test_combined_labels_yes-coding-approach1-stopwords-no-uniformprior_no-stemming_no-test_no.csv,Classified_w2v_tfidf_combined_labels_yes-coding-approach1-stopwords-no-uniformprior_no-stemming_no-test_no.csv
no,1,yes,yes,yes,first classifier (Naive Bayes classifier),0.8157894736842105,
no,1,yes,yes,yes,second classifier (TF-IDF Naive Bayes classifier),0.8947368421052632,0.9814814814814815,0.8947368421052632,0.8960917740575697,0.8947368421052632,0.8835907514987071,Classified_TFIDF_NB-test_combined_labels_no-coding-approach1-stopwords-yes-uniformprior_yes-stemming_yes-test_no.csv,Classified_TFIDF_NB_combined_labels_no-coding-approach1-stopwords-yes-uniformprior_yes-stemming_yes-test_no.csv
no,1,yes,yes,yes,third classifier (SVM classifier),0.9210526315789473,0.9814814814814815,0.9210526315789473,0.9282296650717704,0.9210526315789473,0.9182890612110214,Classified_SVM-test_combined_labels_no-coding-approach1-stopwords-yes-uniformprior_yes-stemming_yes-test_no.csv,Classified_SVM_combined_labels_no-coding-approach1-stopwords-yes-uniformprior_yes-stemming_yes-test_no.csv
no,1,yes,yes,yes,fourth classifier (word2vec),0.8421052631578947,0.9259259259259259,0.8421052631578947,0.809423769507803,0.8421052631578947,0.8151213631905853,Classified_w2v-test_combined_labels_no-coding-approach1-stopwords-yes-uniformprior_yes-stemming_yes-test_no.csv,Classified_w2v_combined_labels_no-coding-approach1-stopwords-yes-uniformprior_yes-stemming_yes-test_no.csv
